Fz,FCz,Cz,FC3,FC4,C3,C4,CP3,CP4,subject,condition
5.995738126213592,6.526663145631069,6.6098215922330095,5.945729941747572,5.129409951456311,6.95323172815534,5.4461552815533985,5.195182844660194,5.754171951456311,1.0,1.0
5.746131126213592,6.294746145631068,6.39673659223301,5.830366941747573,4.831479951456311,6.772717728155341,5.257315281553398,5.058577844660194,5.520750951456311,1.0,1.0
5.687666126213592,6.312671145631068,6.41880859223301,5.947073941747573,4.95404195145631,6.95423872815534,5.352121281553398,5.174687844660195,5.6448409514563105,1.0,1.0
5.703683126213592,6.342187145631068,6.423635592233009,6.102123941747573,5.052289951456311,7.18593772815534,5.357773281553397,5.322733844660194,5.690239951456311,1.0,1.0
5.562692126213592,6.150467145631069,6.181233592233009,6.042529941747573,4.94607995145631,7.22417072815534,5.151570281553399,5.357810844660194,5.545829951456311,1.0,1.0
5.532503126213592,6.052899145631068,6.02395359223301,5.9270179417475735,4.887599951456311,7.11708672815534,5.077016281553399,5.186431844660194,5.496623951456311,1.0,1.0
5.444088126213591,5.792692145631069,5.85581659223301,5.705911941747572,4.707062951456311,6.73895172815534,4.937517281553398,4.821878844660194,5.2861089514563115,1.0,1.0
5.2151021262135915,5.456546145631068,5.51959859223301,5.3680319417475735,4.4348789514563105,6.1991867281553406,4.6788152815533985,4.4089278446601945,4.970750951456311,1.0,1.0
4.8864051262135915,5.137369145631068,5.09103659223301,4.961390941747573,4.149112951456311,5.79405772815534,4.3690852815533985,4.010182844660194,4.623873951456311,1.0,1.0
4.574259126213592,4.812755145631068,4.67360359223301,4.660687941747573,3.8277069514563107,5.56927372815534,3.9124992815533983,3.6390178446601937,4.238493951456311,1.0,1.0
4.391669126213592,4.609541145631068,4.46360459223301,4.633194941747573,3.6514249514563106,5.2866897281553396,3.603918281553398,3.449573844660194,3.9035019514563114,1.0,1.0
4.287005126213591,4.491556145631068,4.34654259223301,4.479142941747573,3.4669219514563103,5.13686772815534,3.4959582815533987,3.379771844660194,3.734229951456311,1.0,1.0
4.0639481262135915,4.367444145631068,4.226145592233009,4.212835941747573,3.217490951456311,4.97677472815534,3.322617281553398,3.3282408446601943,3.613773951456311,1.0,1.0
4.330425126213592,4.685301145631069,4.51964559223301,4.588626941747573,3.460307951456311,5.19380972815534,3.485790281553398,3.796035844660194,3.839242951456311,1.0,1.0
4.542569126213592,4.776549145631068,4.61197059223301,4.808743941747573,3.563376951456311,5.4929097281553405,3.566037281553398,4.108792844660194,3.919050951456311,1.0,1.0
4.306269126213592,4.4144821456310686,4.29711459223301,4.495937941747573,3.4259859514563105,5.255472728155341,3.450890281553398,3.7648118446601937,3.748825951456311,1.0,1.0
4.209197126213592,4.312951145631068,4.19247159223301,4.251661941747573,3.5306899514563104,5.08087672815534,3.541347281553398,3.619321844660194,3.768062951456311,1.0,1.0
4.230065126213592,4.297301145631068,4.07291359223301,4.195951941747572,3.5575929514563107,4.98771172815534,3.595356281553398,3.490558844660194,3.781993951456311,1.0,1.0
3.909070126213592,3.9551851456310687,3.7469875922330096,4.143019941747573,3.2280799514563108,4.81154672815534,3.391634281553398,3.251598844660194,3.505648951456311,1.0,1.0
3.6245351262135923,3.7335781456310686,3.60385459223301,3.881386941747573,3.046645951456311,4.54962972815534,3.2430242815533985,3.151750844660194,3.2784939514563107,1.0,1.0
3.5766291262135916,3.6754131456310684,3.5307665922330096,3.616635941747573,3.070703951456311,4.3672867281553405,3.1784272815533985,3.0384668446601943,3.1829169514563116,1.0,1.0
3.659125126213592,3.6675631456310684,3.40948659223301,3.602832941747573,3.138441951456311,4.38801872815534,3.1042172815533977,2.845055844660194,3.075125951456311,1.0,1.0
3.862692126213592,3.9314351456310686,3.50718059223301,3.9978599417475724,3.4481609514563107,4.68491972815534,3.287746281553398,2.9233518446601936,3.2373649514563105,1.0,1.0
4.046451126213592,4.1239481456310685,3.5889465922330093,4.2817349417475725,3.648944951456311,4.84285972815534,3.473333281553398,3.109487844660194,3.4335179514563112,1.0,1.0
3.986185126213592,3.9797941456310686,3.4304495922330096,4.201914941747573,3.575694951456311,4.88240072815534,3.4270362815533986,3.203964844660194,3.336255951456311,1.0,1.0
3.8168991262135923,3.684177145631068,3.17197259223301,4.029782941747572,3.3649989514563106,4.75655772815534,3.3084382815533986,3.196206844660194,3.201801951456311,1.0,1.0
3.611010126213592,3.5381341456310684,2.9169095922330097,3.946642941747573,3.2015639514563112,4.52430772815534,3.076644281553398,2.9921848446601937,3.098866951456311,1.0,1.0
3.675348126213592,3.5925561456310686,2.83915959223301,3.884402941747573,3.2570209514563104,4.58191372815534,3.1167222815533986,3.033726844660194,3.1720659514563114,1.0,1.0
